appid,price_usd,required_age,n_supported_languages,n_achievements,n_screenshots_api,n_movies,n_dlc,description_len_chars,description_len_words,n_tags,is_free,supports_windows,supports_mac,supports_linux,release_year,release_month,release_quarter,release_dow,genre_action,genre_adventure,genre_indie,genre_rpg,genre_strategy,genre_simulation,genre_free_to_play,genre_casual,genre_massively_multiplayer,genre_sports,genre_early_access,genre_racing,cat_single_player,cat_family_sharing,cat_steam_achievements,cat_multi_player,cat_steam_trading_cards,cat_steam_cloud,cat_full_controller_support,cat_co_op,cat_pvp,cat_online_pvp,cat_online_co_op,cat_remote_play_on_tablet,cat_remote_play_on_tv,cat_partial_controller_support,cat_steam_workshop,tag_singleplayer,tag_action,tag_multiplayer,tag_adventure,tag_co_op,tag_atmospheric,tag_open_world,tag_first_person,tag_shooter,tag_rpg,tag_story_rich,tag_great_soundtrack,tag_indie,tag_online_co_op,tag_strategy,tag_third_person,tag_fps,tag_simulation,tag_sandbox,tag_survival,tag_funny,tag_sci_fi,tag_pvp,tag_fantasy,tag_gore,tag_free_to_play,tag_casual,tag_difficult,tag_character_customization,tag_exploration,umap_x,umap_y,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
383870,19.99,0,7,10,7,6,1,1937,339,20.0,0,1,1,1,2016.0,2.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8.279769,1.0142103,0.0111164570251513,0.011112137435482,0.0111132408986583,0.0111117556673625,0.0111145538398129,0.2983755411257554,0.0111122801833197,0.6127127975310167,0.0111146206392089,0,1,0,0,0,0
6000,9.99,0,4,0,14,2,0,855,135,20.0,0,1,0,0,2009.0,7.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10.498767,4.4444675,0.0062512155998587,0.0062502886127536,0.0062508709011292,0.0062513687666048,0.0062507042191702,0.0062503544925993,0.9437427912526972,0.0062504588500441,0.0062506804743811,0,0,1,0,0,0
1238860,39.99,17,12,67,6,1,18,1615,260,20.0,0,1,0,0,2020.0,6.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.457668,5.1787443,0.009091386427893,0.0090927387175465,0.0090951187964493,0.0090926122050708,0.0090934509158801,0.0090910749062564,0.9181663369311828,0.0090933209916549,0.0090922587866874,0,0,1,0,0,0
1619450,10.99,0,1,0,7,1,0,2505,457,20.0,0,1,0,0,2022.0,2.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12.139396,1.0839438,0.0058842891757742,0.0058833954724623,0.0058862227978349,0.0058836148738058,0.0058846584258367,0.4640559138090181,0.0058836281187054,0.0058837011407566,0.0058834113165791,1,0,0,0,0,0
728880,24.99,0,12,54,29,4,6,1173,202,20.0,0,1,1,1,2018.0,8.0,3.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,6.9644103,3.2847989,0.0055568829222655,0.0055568592360551,0.0055567925041368,0.9499860150865826,0.0055570396291931,0.0055574989117025,0.0055572591232074,0.0055577571012099,0.0055566894827069,0,1,0,0,0,0
291650,39.99,0,7,48,12,2,3,1543,246,20.0,0,1,1,1,2015.0,3.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,13.907188,1.8905233,0.0052645352703622,0.0052642536212293,0.428729793339875,0.0052636302634961,0.5291572199998514,0.0052639925563196,0.0052635499931908,0.0052643417788969,0.0052642087102662,1,0,0,0,0,0
680420,19.99,17,13,52,6,4,2,2092,336,20.0,0,1,0,0,2021.0,4.0,2.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,11.394135,2.506645,0.0083371518369114,0.0083353957080724,0.0083355325757899,0.0083362710456397,0.0083363158767006,0.0083359746419222,0.0083358691786564,0.0083347295874219,0.4955715047861653,0,0,0,0,1,0
1029690,49.99,0,12,71,14,7,16,2693,438,20.0,0,1,0,0,2022.0,5.0,2.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11.563031,5.865174,0.0047630589146875,0.4516563544492625,0.5102392704588797,0.0047636146994883,0.0047629744383462,0.0047628606004243,0.0047629064679773,0.0047631088314775,0.004763015438273,0,0,0,0,1,0
418240,39.99,0,13,44,10,3,2,1922,320,20.0,0,1,1,1,2016.0,12.0,4.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10.869809,0.6833935,0.0058829959909492,0.0058835905406662,0.0058834735517144,0.0058837801510137,0.0058836903984139,0.0058836297079243,0.0058830639207438,0.9470455240150024,0.0058853064699369,0,0,0,1,0,0
883710,39.99,17,15,44,10,1,13,2662,415,20.0,0,1,0,0,2019.0,1.0,1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9.584571,1.4279107,0.0058829701041927,0.0058840122271666,0.0058829922376362,0.0058836172999524,0.0058826922602881,0.0058852648722214,0.9470496670378044,0.0058829735648032,0.0058830898744791,0,0,0,0,1,0
